Ticker,Date,Open,High,Low,Close,Adj Close,Volume
EG,1995-10-03,18.75,19.875,18.5,19.625,12.90988826751709,10364800
EG,1995-10-04,19.5,19.625,18.75,18.75,12.334280967712402,1810800
EG,1995-10-05,19.125,19.5,19.0,19.375,12.74542999267578,1216500
EG,1995-10-06,19.625,19.875,19.375,19.875,13.074333190917969,1538100
EG,1995-10-09,19.875,19.875,19.375,19.375,12.74542999267578,869200
EG,1995-10-10,19.375,19.5,19.0,19.25,12.66319465637207,840800
EG,1995-10-11,19.375,19.5,19.25,19.375,12.74542999267578,630400
EG,1995-10-12,19.375,19.5,19.125,19.375,12.74542999267578,519700
EG,1995-10-13,19.5,20.0,19.5,20.0,13.156569480895996,557300
EG,1995-10-16,20.125,20.125,19.625,19.75,12.992115020751951,188700
EG,1995-10-17,19.75,19.875,19.625,19.75,12.992115020751951,244600
EG,1995-10-18,19.625,19.75,19.5,19.625,12.90988826751709,152500
EG,1995-10-19,19.5,19.625,19.5,19.625,12.90988826751709,180400
EG,1995-10-20,19.625,19.75,19.375,19.5,12.82765293121338,298900
EG,1995-10-23,19.25,19.375,19.125,19.25,12.66319465637207,731100
EG,1995-10-24,19.375,19.375,19.0,19.0,12.498739242553713,670500
EG,1995-10-25,19.125,19.25,19.0,19.0,12.498739242553713,749900
EG,1995-10-26,19.125,19.125,19.0,19.0,12.498739242553713,810900
EG,1995-10-27,19.0,19.25,19.0,19.25,12.66319465637207,460500
EG,1995-10-30,19.375,19.375,19.25,19.25,12.66319465637207,76200
EG,1995-10-31,20.75,20.75,19.875,20.375,13.403257369995115,2034100
EG,1995-11-01,20.25,20.5,20.0,20.375,13.403257369995115,398600
EG,1995-11-02,20.375,20.5,20.375,20.5,13.48548698425293,221200
EG,1995-11-03,20.5,20.875,20.375,20.75,13.649944305419922,306800
EG,1995-11-06,20.625,21.25,20.625,20.625,13.567708969116213,137200
EG,1995-11-07,20.625,20.625,20.375,20.625,13.567708969116213,566300
EG,1995-11-08,20.5,20.875,20.5,20.75,13.649944305419922,264700
EG,1995-11-09,20.625,20.75,20.625,20.75,13.649944305419922,70700
EG,1995-11-10,20.625,20.625,20.375,20.375,13.403257369995115,190500
EG,1995-11-13,20.375,20.625,20.375,20.5,13.48548698425293,135900
EG,1995-11-14,20.625,20.75,20.5,20.625,13.567708969116213,206900
EG,1995-11-15,20.5,20.625,20.25,20.5,13.48548698425293,615500
EG,1995-11-16,20.75,21.0,20.375,20.375,13.422898292541504,381400
EG,1995-11-17,20.5,20.875,20.375,20.625,13.587592124938965,178000
EG,1995-11-20,20.75,21.375,20.5,20.5,13.505252838134766,377000
EG,1995-11-21,20.625,20.75,20.5,20.75,13.669952392578123,391400
EG,1995-11-22,20.5,20.875,20.5,20.875,13.75229263305664,92600
EG,1995-11-24,20.875,20.875,20.75,20.875,13.75229263305664,7900
EG,1995-11-27,20.75,21.125,20.625,20.75,13.669952392578123,455000
EG,1995-11-28,21.0,21.0,20.75,20.75,13.669952392578123,130200
EG,1995-11-29,20.75,20.875,20.75,20.75,13.669952392578123,59500
EG,1995-11-30,20.625,21.0,20.625,20.875,13.75229263305664,180100
EG,1995-12-01,21.0,21.25,20.875,21.25,13.999337196350098,94400
EG,1995-12-04,21.25,21.25,21.0,21.0,13.834640502929688,228600
EG,1995-12-05,21.0,21.125,20.875,21.125,13.916993141174316,251400
EG,1995-12-06,21.25,21.25,21.0,21.0,13.834640502929688,109900
EG,1995-12-07,21.25,21.625,21.25,21.375,14.081695556640623,171800
EG,1995-12-08,21.125,21.375,21.0,21.25,13.999337196350098,224000
EG,1995-12-11,21.25,21.75,21.25,21.5,14.164040565490724,123800
EG,1995-12-12,21.5,21.625,21.25,21.5,14.164040565490724,192100
EG,1995-12-13,21.5,21.875,21.375,21.625,14.246376991271973,81800
EG,1995-12-14,21.875,22.375,21.875,21.875,14.411089897155762,251200
EG,1995-12-15,22.0,22.5,22.0,22.25,14.65813446044922,220800
EG,1995-12-18,22.125,22.125,21.875,22.125,14.575780868530272,320900
EG,1995-12-19,22.0,23.0,21.875,23.0,15.152225494384766,361400
EG,1995-12-20,23.25,23.375,22.375,22.375,14.740479469299316,168300
EG,1995-12-21,22.375,23.0,22.375,22.875,15.069875717163086,90300
EG,1995-12-22,23.0,23.0,22.625,22.875,15.069875717163086,104500
EG,1995-12-26,22.625,23.0,22.625,23.0,15.152225494384766,109100
EG,1995-12-27,23.0,23.0,22.75,22.875,15.069875717163086,108400
EG,1995-12-28,23.0,23.0,22.625,22.625,14.905180931091309,74100
EG,1995-12-29,22.625,23.5,22.625,23.375,15.39927101135254,230800
EG,1996-01-02,23.25,23.25,22.25,22.875,15.069875717163086,237100
